"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2026","51,710.90","51,769.74","51,895.76","51,497.91","256.18M","-0.11%"
"06/23/2026","51,769.74","52,585.72","52,674.70","51,769.74","433.38M","-1.55%"
"06/22/2026","52,585.72","52,679.45","52,789.86","52,469.70","349.27M","-0.18%"
"06/21/2026","52,679.45","52,621.84","52,859.35","52,619.29","328.63M","0.11%"
"06/17/2026","52,621.84","52,047.15","52,621.84","52,094.25","360.94M","1.10%"
"06/16/2026","52,047.15","52,306.66","52,283.54","51,931.05","359.49M","-0.50%"
"06/15/2026","52,306.66","51,994.63","52,419.22","52,024.70","546.61M","0.60%"
"06/14/2026","51,994.63","50,818.84","52,201.58","51,765.01","395.86M","2.31%"
"06/11/2026","50,818.84","51,256.65","51,215.58","50,686.22","308.96M","-0.85%"
"06/10/2026","51,256.65","52,374.80","52,437.19","51,229.60","452.60M","-2.13%"
"06/09/2026","52,374.80","51,882.81","52,533.78","51,963.83","336.70M","0.95%"
"06/08/2026","51,882.81","52,164.60","52,403.03","51,674.25","708.24M","-0.54%"
"06/07/2026","52,164.60","52,652.53","52,584.69","52,057.03","521.92M","-0.93%"
"06/04/2026","52,652.53","52,564.42","52,699.90","52,422.01","508.81M","0.17%"
"06/03/2026","52,564.42","52,927.02","53,085.78","52,363.48","437.44M","-0.69%"
"06/02/2026","52,927.02","52,853.94","53,188.43","52,830.68","499.35M","0.14%"
"06/01/2026","52,853.94","52,658.75","53,201.62","52,587.57","463.75M","0.37%"
"05/25/2026","52,658.75","52,861.47","53,144.48","52,584.26","386.02M","-0.38%"
"05/24/2026","52,861.47","52,090.96","53,022.77","52,278.18","365.87M","1.48%"
"05/21/2026","52,090.96","51,936.75","52,211.81","51,801.44","368.54M","0.30%"
"05/20/2026","51,936.75","52,774.98","53,029.31","51,936.75","435.38M","-1.59%"
"05/19/2026","52,774.98","52,007.00","52,888.51","52,035.25","478.59M","1.48%"
"05/18/2026","52,007.00","52,364.34","52,585.58","51,885.56","564.22M","-0.68%"
"05/17/2026","52,364.34","53,154.84","53,158.90","52,341.76","681.94M","-1.49%"
"05/14/2026","53,154.84","53,416.17","53,542.98","52,949.72","746.78M","-0.49%"
"05/13/2026","53,416.17","54,058.75","54,259.19","53,192.62","432.25M","-1.19%"
"05/12/2026","54,058.75","54,475.49","54,723.06","53,821.92","471.52M","-0.77%"
"05/11/2026","54,475.49","54,628.68","54,977.01","54,449.23","647.56M","-0.28%"
"05/10/2026","54,628.68","53,605.08","54,628.68","53,870.61","675.82M","1.91%"
"05/06/2026","53,605.08","52,557.63","54,044.67","52,767.97","738.67M","1.99%"
"05/05/2026","52,557.63","51,973.50","52,595.35","51,367.47","496.94M","1.12%"
"05/04/2026","51,973.50","52,312.70","52,704.76","51,818.87","692.00M","-0.65%"
"05/03/2026","52,312.70","51,760.97","52,393.85","51,818.92","700.54M","1.07%"
"04/30/2026","51,760.97","52,383.13","52,538.84","51,748.64","637.54M","-1.19%"
"04/29/2026","52,383.13","52,230.61","52,431.85","52,096.15","420.47M","0.29%"
"04/28/2026","52,230.61","52,719.12","52,896.87","52,213.64","402.73M","-0.93%"
"04/27/2026","52,719.12","52,421.14","52,865.76","52,353.93","341.83M","0.57%"
"04/26/2026","52,421.14","52,375.39","52,632.40","52,327.40","699.41M","0.09%"
"04/23/2026","52,375.39","51,962.39","52,556.52","52,010.73","888.72M","0.79%"
"04/22/2026","51,962.39","51,977.34","52,373.77","51,962.39","816.09M","-0.03%"
"04/21/2026","51,977.34","51,813.43","52,139.50","51,764.87","649.29M","0.32%"
"04/20/2026","51,813.43","52,372.64","52,180.01","51,305.11","415.88M","-1.07%"
"04/19/2026","52,372.64","51,437.78","52,718.45","52,024.36","564.77M","1.82%"
"04/16/2026","51,437.78","50,733.14","51,437.78","50,826.35","767.94M","1.39%"
"04/15/2026","50,733.14","49,978.62","50,733.14","50,005.91","450.75M","1.51%"
"04/14/2026","49,978.62","49,078.60","50,018.42","49,211.97","330.94M","1.83%"
"04/12/2026","49,078.60","49,078.60","49,078.60","49,078.60","368.20M","0.00%"
"04/09/2026","49,078.60","48,593.99","49,144.02","48,328.24","368.20M","1.00%"
"04/08/2026","48,593.99","46,681.78","48,602.58","47,660.26","631.50M","4.10%"
"04/07/2026","46,681.78","47,651.58","47,132.48","46,664.14","522.92M","-2.04%"
"04/06/2026","47,651.58","47,276.43","47,838.21","47,317.18","392.06M","0.79%"
"04/05/2026","47,276.43","46,399.00","47,299.47","46,455.64","463.33M","1.89%"
"04/02/2026","46,399.00","46,731.49","46,699.57","46,079.18","544.81M","-0.71%"
"04/01/2026","46,731.49","45,321.59","46,731.49","45,854.47","441.14M","3.11%"
"03/31/2026","45,321.59","45,189.89","45,689.91","45,089.98","571.59M","0.29%"
"03/30/2026","45,189.89","46,404.27","46,601.65","45,093.84","538.79M","-2.62%"
"03/29/2026","46,404.27","47,001.89","46,998.78","46,281.28","514.61M","-1.27%"
"03/26/2026","47,001.89","47,497.91","47,671.46","47,001.89","320.60M","-1.04%"
"03/25/2026","47,497.91","46,930.88","47,743.65","46,998.38","444.91M","1.21%"
"03/24/2026","46,930.88","47,611.96","47,533.66","46,930.88","448.60M","-1.43%"
"03/18/2026","47,611.96","46,054.61","47,611.96","46,064.13","362.31M","3.38%"
"03/17/2026","46,054.61","45,187.72","46,310.29","45,265.84","252.86M","1.92%"
"03/16/2026","45,187.72","45,926.93","46,358.18","45,014.25","294.11M","-1.61%"
"03/15/2026","45,926.93","46,790.96","46,955.53","45,903.50","371.87M","-1.85%"
"03/12/2026","46,790.96","47,195.39","47,743.04","46,723.45","535.83M","-0.86%"
"03/11/2026","47,195.39","47,772.74","47,974.71","47,195.39","247.87M","-1.21%"
"03/10/2026","47,772.74","46,414.85","47,772.74","46,665.35","424.00M","2.93%"
"03/09/2026","46,414.85","46,774.24","47,084.14","45,848.50","575.02M","-0.77%"
"03/08/2026","46,774.24","47,516.44","47,699.89","46,708.99","523.46M","-1.56%"
"03/05/2026","47,516.44","46,452.14","47,753.53","46,913.23","443.41M","2.29%"
"03/04/2026","46,452.14","46,725.81","46,881.09","44,587.71","424.03M","-0.59%"
"03/03/2026","46,725.81","47,692.49","47,656.82","46,391.23","390.72M","-2.03%"
"03/02/2026","47,692.49","47,984.26","48,182.60","47,576.43","344.20M","-0.61%"
"03/01/2026","47,984.26","49,212.83","47,984.26","46,339.32","355.58M","-2.50%"
"02/26/2026","49,212.83","49,014.32","49,232.95","48,424.42","355.13M","0.40%"
"02/25/2026","49,014.32","50,390.21","50,454.43","48,230.58","412.02M","-2.73%"
"02/24/2026","50,390.21","50,870.06","51,088.77","50,390.21","614.34M","-0.94%"
"02/23/2026","50,870.06","49,560.88","50,870.06","49,546.10","364.82M","2.64%"
"02/22/2026","49,560.88","50,667.67","51,145.24","49,289.31","258.60M","-2.18%"
"02/19/2026","50,667.67","52,222.34","52,399.65","50,651.96","344.60M","-2.98%"
"02/18/2026","52,222.34","51,833.76","52,256.54","51,882.81","586.91M","0.75%"
"02/17/2026","51,833.76","51,493.53","52,105.88","51,441.59","430.09M","0.66%"
"02/16/2026","51,493.53","52,308.32","52,821.72","51,463.47","571.23M","-1.56%"
"02/15/2026","52,308.32","50,490.20","52,308.32","50,523.44","502.62M","3.60%"
"02/12/2026","50,490.20","49,700.24","50,490.20","49,610.06","554.36M","1.59%"
"02/11/2026","49,700.24","50,376.15","50,587.83","49,700.24","401.07M","-1.34%"
"02/10/2026","50,376.15","50,293.53","50,928.77","50,288.38","463.53M","0.16%"
"02/09/2026","50,293.53","50,035.23","50,397.35","49,923.11","399.98M","0.52%"
"02/08/2026","50,035.23","49,739.03","50,370.95","49,861.47","525.29M","0.60%"
"02/05/2026","49,739.03","49,631.56","49,972.97","49,189.68","411.43M","0.22%"
"02/04/2026","49,631.56","48,978.48","49,661.01","48,996.49","489.47M","1.33%"
"02/03/2026","48,978.48","47,606.28","49,235.65","47,623.39","500.49M","2.88%"
"02/02/2026","47,606.28","47,662.74","47,755.84","46,967.09","624.58M","-0.12%"
"02/01/2026","47,662.74","47,785.93","47,724.10","47,132.87","411.17M","-0.26%"
"01/28/2026","47,785.93","47,834.55","48,287.02","47,447.64","241.03M","-0.10%"
"01/27/2026","47,834.55","47,507.43","47,928.60","47,519.37","228.82M","0.69%"
"01/26/2026","47,507.43","46,857.73","47,507.43","46,853.36","345.85M","1.39%"
"01/25/2026","46,857.73","46,462.32","47,141.20","46,536.52","276.99M","0.85%"
